datetime,pm_25_conc,pm_25_AQI,pm_25_AQI_cat,station_name
2022-12-24T00:00,7.6,32,1,SCHILPRK
2022-12-24T00:00,7.6,32,1,DESPLNS
2022-12-24T00:00,6.1,25,1,CHIWAUKEE
2022-12-24T00:00,4.9,20,1,HARRINGTON BCH
2022-12-24T00:00,7.1,30,1,NORTHBRK
2022-12-24T00:00,5.3,22,1,Cicero2
2022-12-24T00:00,11.8,49,1,ALSIP
2022-12-24T00:00,6.1,25,1,CHI_SP
2022-12-24T00:00,7.2,30,1,CHI_COM
2022-12-24T00:00,6.5,27,1,Evansville-Buena Vista
2022-12-24T00:00,9.0,38,1,Kingery Near-road #1
2022-12-24T00:00,8.0,33,1,Hammond-167th St
2022-12-24T00:00,9.1,38,1,East Chicago - Marina
2022-12-24T00:00,5.2,22,1,Loretto
2022-12-24T00:00,3.8,16,1,Clarksville
2022-12-24T00:00,3.3,14,1,Ellyson Industrial Park
2022-12-24T00:00,6.9,29,1,OWENPRI
2022-12-24T00:00,4.1,17,1,Columbia
2022-12-24T00:00,5.5,23,1,MCADORY
2022-12-24T00:00,6.4,27,1,DECATUR
2022-12-24T00:00,6.3,26,1,CORNER
2022-12-24T00:00,5.3,22,1,WYLAM
2022-12-24T00:00,6.0,25,1,NO. BHAM
2022-12-24T00:00,6.2,26,1,Shuttlesworth
2022-12-24T00:00,7.3,30,1,Huntsville Old Airport
2022-12-24T00:00,5.7,24,1,LEEDS
2022-12-24T00:00,3.0,13,1,MONTG
2022-12-24T00:00,8.6,36,1,Indpls-W.18th St
2022-12-24T00:00,11.1,46,1,South Bend-Shields Dr
2022-12-24T00:00,4.2,18,1,HOLLAND
2022-12-24T00:00,8.0,33,1,Indpls - I-70 E
2022-12-24T00:00,8.0,33,1,Indpls-Washington Park
2022-12-24T00:00,3.9,16,1,GADSDEN
2022-12-24T00:00,5.1,21,1,Elkhart-Prairie St.
2022-12-24T00:00,6.7,28,1,Fishers
2022-12-24T00:00,7.1,30,1,WATSON
2022-12-24T00:00,4.3,18,1,JENISON
2022-12-24T00:00,6.6,28,1,ETOWN2
