station_name,datetime,pm_10_conc,pm_10_AQI,pm_10_cat,pm_25_conc,pm_25_AQI,pm_25_AQI_cat
Oakland West,2022-12-24T00:00,,,,33.8,97.0,2.0
Laney College,2022-12-24T00:00,,,,35.6,101.0,3.0
Red Bluff - Walnut office,2022-12-24T00:00,,,,12.3,51.0,2.0
Redwood City,2022-12-24T00:00,,,,28.1,85.0,2.0
Oakland,2022-12-24T00:00,,,,26.7,82.0,2.0
SLV Middle School AMS,2022-12-24T00:00,,,,5.1,21.0,1.0
Concord,2022-12-24T00:00,,,,31.9,93.0,2.0
Santa Cruz AMS,2022-12-24T00:00,,,,13.8,55.0,2.0
Vacaville,2022-12-24T00:00,,,,15.7,59.0,2.0
Chiloquin,2022-12-24T00:00,,,,1.9,8.0,1.0
Pleasanton - Owens Ct.,2022-12-24T00:00,,,,25.8,80.0,2.0
San Jose - Jackson St.,2022-12-24T00:00,,,,30.8,90.0,2.0
San Jose - Knox Ave,2022-12-24T00:00,,,,27.9,84.0,2.0
Livermore - Rincon,2022-12-24T00:00,,,,27.7,84.0,2.0
Davis - UCD Campus,2022-12-24T00:00,,,,18.0,63.0,2.0
Carmel Valley AMS,2022-12-24T00:00,,,,1.6,7.0,1.0
Woodland,2022-12-24T00:00,,,,20.7,69.0,2.0
Klamath Falls - Peterson School,2022-12-24T00:00,,,,7.3,30.0,1.0
Rio Vista,2022-12-24T00:00,,,,32.8,95.0,2.0
Gridley,2022-12-24T00:00,,,,13.9,55.0,2.0
Salinas AMS,2022-12-24T00:00,,,,6.9,29.0,1.0
Paradise Theater,2022-12-24T00:00,,,,11.8,49.0,1.0
Gilory - 9th Street,2022-12-24T00:00,,,,16.8,61.0,2.0
Sisters Forest Service,2022-12-24T00:00,,,,8.5,35.0,1.0
La Pine Rural Fire Dept,2022-12-24T00:00,,,,5.4,23.0,1.0
Bercut Dr,2022-12-24T00:00,,,,28.7,86.0,2.0
Sunriver Three Rivers School,2022-12-24T00:00,,,,5.4,23.0,1.0
Elk Grove,2022-12-24T00:00,,,,34.5,98.0,2.0
Arden Arcade - Del Paso Manor,2022-12-24T00:00,,,,28.0,84.0,2.0
Lincoln,2022-12-24T00:00,,,,25.9,80.0,2.0
Bend Pine Ridge Elementary School,2022-12-24T00:00,,,,2.5,10.0,1.0
Bend - Pump Station,2022-12-24T00:00,,,,4.9,20.0,1.0
Bend NE 8th & Emerson,2022-12-24T00:00,,,,3.8,16.0,1.0
Stockton - University Park,2022-12-24T00:00,,,,35.4,100.0,2.0
Bend Ponderosa Elementary School,2022-12-24T00:00,,,,11.1,46.0,1.0
Chester BAM,2022-12-24T00:00,,,,8.5,35.0,1.0
Sloughhouse,2022-12-24T00:00,,,,23.0,74.0,2.0
