datetime,parameter,concentration,AQI,AQI cat,station_name
2022-12-29T02:00,PM10,5.0,5,1,Lee Vining
2022-12-29T02:00,PM2.5,5.6,23,1,Bakersfield - California Ave
2022-12-29T02:00,PM2.5,3.8,16,1,Porterville-NFS
2022-12-29T02:00,PM2.5,5.5,23,1,Burns - Washington St.
2022-12-29T02:00,PM2.5,0.0,0,1,Pinehurst
2022-12-29T02:00,PM10,4.0,4,1,Burbank-Maple Street
2022-12-29T02:00,PM2.5,0.2,1,1,Burbank-Maple Street
2022-12-29T02:00,PM2.5,2.8,12,1,Mesa-Pepoit Way (temp SO)
2022-12-29T02:00,PM10,6.0,6,1,Mammoth Lakes
2022-12-29T02:00,PM2.5,17.4,62,2,John Day Dayton St
2022-12-29T02:00,PM2.5,4.3,18,1,Thousand Oaks - Moorpark Road
2022-12-29T02:00,PM2.5,2.2,9,1,Lebec
2022-12-29T02:00,PM2.5,2.3,10,1,Sequoia and Kings Canyon - Ash Mountain
2022-12-29T02:00,PM2.5,7.7,32,1,Pendleton - McKay Creek
2022-12-29T02:00,PM2.5,12.0,50,1,Springville
2022-12-29T02:00,PM2.5,4.4,18,1,Piru - Pacific
2022-12-29T02:00,PM2.5,17.3,62,2,Grande Prairie - Henry Pirker
2022-12-29T02:00,PM2.5,8.6,36,1,Santa Clarita
2022-12-29T02:00,PM2.5,11.4,48,1,Bishop Paiute Tribe-CA
2022-12-29T02:00,PM10,11.0,10,1,Bishop Paiute Tribe-CA
2022-12-29T02:00,PM2.5,1.2,5,1,Ritzville-Alder St 
2022-12-29T02:00,PM2.5,7.0,29,1,North Holywood
2022-12-29T02:00,PM2.5,1.2,5,1,Walla Walla-12th St
2022-12-29T02:00,PM10,2.0,2,1,NCORE - Bishop
2022-12-29T02:00,PM2.5,0.3,1,1,NCORE - Bishop
2022-12-29T02:00,PM2.5,5.2,22,1,Los Angeles - N. Main Street
2022-12-29T02:00,PM10,14.0,13,1,Los Angeles - N. Main Street
2022-12-29T02:00,PM2.5,11.0,46,1,Compton
2022-12-29T02:00,PM10,11.0,10,1,Long Beach Signal Hill
2022-12-29T02:00,PM2.5,2.0,8,1,Long Beach Signal Hill
2022-12-29T02:00,PM2.5,2.8,12,1,Mojave - CA 58 Business
2022-12-29T02:00,PM10,5.0,5,1,Mojave - CA 58 Business
2022-12-29T02:00,PM2.5,1.5,6,1,La Grande Hall & N Sts
2022-12-29T02:00,PM10,15.0,14,1,Lone Pine
2022-12-29T02:00,PM2.5,2.0,8,1,Lone Pine Paiute/Shoshone Tribe-CA
2022-12-29T02:00,PM10,4.0,4,1,Olancha
2022-12-29T02:00,PM10,1.0,1,1,Bill Stanley
2022-12-29T02:00,PM10,5.0,5,1,North Beach
2022-12-29T02:00,PM2.5,2.4,10,1,Wellpinit-Spokane Tribe
2022-12-29T02:00,PM2.5,1.9,8,1,Dayton-W Main
2022-12-29T02:00,PM10,6.0,6,1,Coso Junction
2022-12-29T02:00,PM10,3.0,3,1,Lizard Tail
2022-12-29T02:00,PM10,15.0,14,1,Anaheim
2022-12-29T02:00,PM2.5,1.6,7,1,Anaheim
2022-12-29T02:00,PM2.5,4.7,20,1,Colville-E 1st St
2022-12-29T02:00,PM10,7.0,6,1,Colville-E 1st St
